Timestamp,EventType,Count
00:11:26,Iron Ore,1
00:11:29,Iron Ore,2
00:11:31,Iron Ore,3
00:11:34,Iron Ore,4
00:11:36,Iron Ore,5
00:11:39,Iron Ore,6
00:11:42,Iron Ore,7
00:11:44,Iron Ore,8
00:11:47,Iron Ore,9
00:11:50,Iron Ore,10
00:11:52,Iron Ore,11
00:11:55,Iron Ore,12
00:11:57,Iron Ore,13
00:12:00,Iron Ore,14
00:12:03,Iron Ore,15
00:12:05,Iron Ore,16
00:12:08,Iron Ore,17
00:12:11,Iron Ore,18
00:12:13,Iron Ore,19
00:12:16,Iron Ore,20
00:12:19,Iron Ore,21
00:12:21,Iron Ore,22
00:12:24,Iron Ore,23
00:12:27,Iron Ore,24
00:12:29,Iron Ore,25
00:12:32,Iron Ore,26
00:12:35,Iron Ore,27
00:12:37,Iron Ore,28
00:12:40,Iron Ore,29
00:12:43,Iron Ore,30
00:12:45,Iron Ore,31
00:12:48,Iron Ore,32
00:12:50,Iron Ore,33
00:12:53,Iron Ore,34
00:12:56,Iron Ore,35
00:12:58,Iron Ore,36
00:13:01,Iron Ore,37
00:13:03,Iron Ore,38
00:13:06,Iron Ore,39
00:13:09,Iron Ore,40
00:13:11,Iron Ore,41
00:13:14,Iron Ore,42
00:13:17,Iron Ore,43
00:13:19,Iron Ore,44
00:13:22,Iron Ore,45
00:13:25,Iron Ore,46
00:13:27,Iron Ore,47
00:13:30,Iron Ore,48
00:13:32,Iron Ore,49
00:13:35,Iron Ore,50
00:13:38,Iron Ore,51
00:13:40,Iron Ore,52
00:13:43,Iron Ore,53
00:13:46,Iron Ore,54
00:13:48,Iron Ore,55
00:13:51,Iron Ore,56
00:13:54,Iron Ore,57
00:13:56,Iron Ore,58
00:13:59,Iron Ore,59
00:14:02,Iron Ore,60
00:14:04,Iron Ore,61
00:14:07,Iron Ore,62
00:14:10,Iron Ore,63
00:14:12,Iron Ore,64
00:14:15,Iron Ore,65
00:14:18,Iron Ore,66
00:14:20,Iron Ore,67
00:14:23,Iron Ore,68
00:14:26,Iron Ore,69
00:14:28,Iron Ore,70
00:14:31,Iron Ore,71
00:14:34,Iron Ore,72
00:14:36,Iron Ore,73
00:14:39,Iron Ore,74
00:14:41,Iron Ore,75
